<DATE>,<OPEN>,<CLOSE>
20090721,57.73,56.53
20090724,57.05,57.46
20090727,57.04,57.44
20090730,57.94,56.72
20090802,56.96,56.05
20090805,55.39,53.62
20090808,53.15,52.94
20090811,53.49,53.49
20090814,51.95,52.81
20090817,52.69,53.18
20090820,54.15,55.57
20090823,57.53,57.46
20090826,57.77,56.69
20090829,57.75,56.57
20090901,54.76,55.59
20090904,55.07,55.85
20090907,56.26,54.63
20090910,51.91,50.81
20090913,50.83,49.61
20090916,48.95,47.5
20090919,47.67,47.76
20090922,47.27,48.67
20090925,50.17,50.73
20090928,48.93,47.83
20091001,48.24,47.61
20091004,47.12,48.02
20091007,48.53,49.85
20091010,49.42,50.79
20091013,50.24,51.74
20091016,51.84,50.98
20091019,49.35,49.05
20091022,48.79,49.65
20091025,49.54,49.11
20091028,50.19,49.96
20091031,49.38,49.96
20091103,49.47,50.13
20091106,49.53,49.31
20091109,49.46,49.09
20091112,49.07,49.89
20091115,50.3,50.78
20091118,50.14,51.0
20091121,51.67,52.67
20091124,51.94,51.77
20091127,52.41,51.8
20091130,51.57,53.5
20091203,55.45,56.69
20091206,57.63,56.61
20091209,57.12,56.76
20091212,55.7,55.19
20091215,55.31,54.76
20091218,54.21,55.0
20091221,55.15,55.38
20091224,55.49,54.82
20091227,53.45,53.76
20091230,53.25,51.24
20100102,50.85,49.75
20100105,50.45,50.97
20100108,51.47,50.81
20100111,51.54,51.86
20100114,51.45,50.99
20100117,51.89,51.41
20100120,51.72,52.75
20100123,54.66,56.32
20100126,57.22,55.72
20100129,55.03,54.48
20100201,56.14,55.44
20100204,55.82,55.92
20100207,54.99,55.37
20100210,55.77,54.51
20100213,55.73,53.65
20100216,53.06,54.03
20100219,52.84,53.19
20100222,51.89,51.8
20100225,49.48,48.64
20100228,47.1,46.7
20100303,46.28,45.61
20100306,46.41,45.52
20100309,46.15,47.78
20100312,47.92,47.06
20100315,45.81,45.1
20100318,45.81,45.96
20100321,46.9,47.67
20100324,47.81,48.29
20100327,50.14,51.56
20100330,51.25,52.24
20100402,52.83,53.97
20100405,54.64,53.66
20100408,52.04,52.62
20100411,54.52,53.74
20100414,53.56,52.52
20100417,53.7,51.39
20100420,49.13,49.5
20100423,49.42,48.94
20100426,48.64,49.18
20100429,48.76,47.67
20100502,46.74,47.63
20100505,47.1,45.72
20100508,45.82,46.32
20100511,47.65,47.87
20100514,47.21,47.69
20100517,48.41,48.37
20100520,48.33,48.59
20100523,48.52,48.77
20100526,47.75,46.6
20100529,45.76,46.4
20100601,46.66,47.7
20100604,47.52,46.37
20100607,47.52,47.5
20100610,48.78,49.38
20100613,51.57,51.35
20100616,52.25,53.14
20100619,52.59,52.41
20100622,50.95,49.4
20100625,49.53,50.32
20100628,50.96,51.3
20100701,52.16,51.57
20100704,51.3,52.04
20100707,52.47,52.26
20100710,53.58,52.29
20100713,51.77,51.49
20100716,52.3,52.31
20100719,51.05,51.56
20100722,52.65,53.39
20100725,54.01,52.13
20100728,51.23,51.71
20100731,51.66,52.18
20100803,50.91,50.85
20100806,49.46,47.51
20100809,47.81,48.65
20100812,48.89,48.86
20100815,47.3,48.3
20100818,48.26,50.22
20100821,51.16,49.16
20100824,49.91,48.52
20100827,47.76,47.51
20100830,47.41,47.81
20100902,46.79,45.64
20100905,46.24,46.22
20100908,46.4,44.2
20100911,44.03,43.14
20100914,42.22,43.14
20100917,42.04,40.95
20100920,40.62,41.07
20100923,40.18,41.42
20100926,42.87,41.99
20100929,41.74,40.96
20101002,39.28,39.58
20101005,40.31,42.33
20101008,41.43,42.76
20101011,44.11,44.3
20101014,44.91,45.78
20101017,47.75,48.23
20101020,48.17,47.31
20101023,47.61,48.64
20101026,48.88,48.1
20101029,48.19,48.06
20101101,48.32,46.66
20101104,47.21,47.81
20101107,48.25,48.25
20101110,46.44,46.42
20101113,47.49,46.63
20101116,44.64,43.1
20101119,43.41,43.78
20101122,44.67,44.61
20101125,43.11,42.29
20101128,43.11,43.25
20101201,43.9,44.34
20101204,44.13,43.96
20101207,45.82,46.23
20101210,46.1,46.56
20101213,46.78,44.62
20101216,45.27,47.09
20101219,46.31,47.77
20101222,47.51,47.81
20101225,48.88,48.16
20101228,49.4,48.18
20101231,47.31,46.72
20110103,47.38,47.04
20110106,45.52,45.3
20110109,44.52,45.25
20110112,44.9,44.97
20110115,44.57,45.0
20110118,44.82,45.14
20110121,42.55,42.65
20110124,43.06,42.86
20110127,43.53,44.27
20110130,45.58,45.68
20110202,43.77,41.48
20110205,39.88,39.84
20110208,39.68,39.96
20110211,39.33,38.6
20110214,39.15,39.81
20110217,39.55,39.51
20110220,39.92,40.42
20110223,39.28,38.56
20110226,37.33,36.82
20110301,37.63,38.18
20110304,37.08,37.59
20110307,37.68,37.19
20110310,35.78,35.61
20110313,36.29,34.12
20110316,33.73,35.98
20110319,36.65,36.91
20110322,36.18,35.5
20110325,35.41,37.02
20110328,37.48,36.61
20110331,37.79,37.49
20110403,39.19,38.63
20110406,37.62,37.8
20110409,38.78,39.82
20110412,39.98,38.99
20110415,38.48,36.46
20110418,35.55,35.37
20110421,35.76,35.42
20110424,35.36,34.97
20110427,35.72,34.82
20110430,35.66,37.62
20110503,38.09,37.56
20110506,37.03,38.24
20110509,37.11,36.16
20110512,34.99,33.71
20110515,32.67,33.46
20110518,34.56,33.86
20110521,34.07,34.83
20110524,34.93,33.98
20110527,32.51,33.52
20110530,34.01,34.59
20110602,33.48,33.72
20110605,34.35,34.66
20110608,33.92,34.93
20110611,33.4,34.33
20110614,35.41,36.98
20110617,36.64,35.64
20110620,36.43,35.74
20110623,35.78,35.46
20110626,34.56,34.88
20110629,33.49,34.08
20110702,33.11,31.38
20110705,31.33,31.76
20110708,32.34,33.16
20110711,30.81,29.8
20110714,29.91,31.43
20110717,32.21,34.11
20110720,33.59,33.86
20110723,32.76,32.36
20110726,31.62,30.99
20110729,30.59,30.6
20110801,30.62,31.16
20110804,31.3,30.96
20110807,30.44,30.13
20110810,29.68,30.17
20110813,31.04,32.31
20110816,31.51,31.98
20110819,30.59,30.96
20110822,32.04,31.89
20110825,32.97,31.83
20110828,30.94,30.8
20110831,31.82,31.41
20110903,30.95,29.96
20110906,30.16,31.41
20110909,32.11,32.81
20110912,32.6,32.04
20110915,32.72,32.68
20110918,32.51,33.41
20110921,33.21,32.37
20110924,33.28,33.36
20110927,32.33,31.21
20110930,31.31,33.65
20111003,33.25,32.92
20111006,34.44,34.38
20111009,32.93,31.36
20111012,32.59,33.25
20111015,34.08,34.02
20111018,33.3,33.08
20111021,33.22,32.38
20111024,32.94,31.68
20111027,31.35,31.14
20111030,30.45,28.25
20111102,28.69,27.94
20111105,29.26,28.92
20111108,28.38,28.47
20111111,29.53,28.96
20111114,29.98,31.42
20111117,32.41,34.03
20111120,35.33,36.84
20111123,38.45,38.65
20111126,38.22,35.96
20111129,34.64,34.19
20111202,33.81,33.66
20111205,32.66,31.06
20111208,30.93,30.74
20111211,29.93,29.19
20111214,28.25,27.85
20111217,27.0,28.26
20111220,28.5,27.53
20111223,27.25,26.07
20111226,27.08,28.46
20111229,29.71,28.57
20120101,28.48,28.08
20120104,28.64,27.63
20120107,26.95,26.54
20120110,26.69,27.39
20120113,27.06,27.72
20120116,28.55,28.33
20120119,27.09,25.92
20120122,26.51,26.03
20120125,24.32,24.93
20120128,25.06,23.66
20120131,24.83,25.67
20120203,25.81,24.54
20120206,23.13,22.83
20120209,21.11,21.52
20120212,20.11,20.27
20120215,19.98,20.7
20120218,19.76,20.03
20120221,18.64,19.43
20120224,19.32,19.81
20120227,18.49,18.99
20120301,19.3,19.66
20120304,19.97,19.78
20120307,21.02,20.87
20120310,20.13,20.07
20120313,19.12,18.65
20120316,18.48,18.1
20120319,18.3,20.24
20120322,20.81,21.88
20120325,21.38,20.79
20120328,20.42,21.27
20120331,19.12,18.09
20120403,18.19,17.97
20120406,19.93,20.38
20120409,19.72,18.14
20120412,17.8,16.5
20120415,16.96,17.13
20120418,17.45,19.52
20120421,18.62,18.42
20120424,17.21,17.13
20120427,18.72,19.29
20120430,19.18,19.43
20120503,18.22,17.83
20120506,17.91,18.01
20120509,16.48,16.81
20120512,17.09,16.71
20120515,16.71,15.23
20120518,13.75,13.89
20120521,13.22,13.21
20120524,14.05,13.87
20120527,11.06,10.91
20120530,10.43,10.19
20120602,11.09,9.52
20120605,9.76,11.33
20120608,10.7,11.18
20120611,12.14,12.35
20120614,11.67,10.96
20120617,11.7,12.29
20120620,11.51,10.33
20120623,9.05,10.71
20120626,10.64,13.0
20120629,13.56,14.0
20120702,14.31,15.31
20120705,14.34,16.5
20120708,16.4,15.7
20120711,16.0,17.09
20120714,16.08,16.65
20120717,15.93,15.43
20120720,14.94,15.7
20120723,14.59,14.78
20120726,14.44,13.59
20120729,12.38,11.18
20120801,9.54,10.44
20120804,10.2,10.36
20120807,11.54,10.31
20120810,9.37,9.63
20120813,7.8,7.23
20120816,6.3,6.63
20120819,6.2,8.21
20120822,9.15,8.3
20120825,7.91,7.56
20120828,10.87,9.36
20120831,9.56,7.48
20120903,7.47,9.38
20120906,8.97,10.08
20120909,10.01,9.59
20120912,9.34,8.75
20120915,8.12,6.79
20120918,8.3,7.91
20120921,8.2,7.32
20120924,8.44,8.17
20120927,8.08,6.25
20120930,6.64,8.46
20121003,7.59,7.13
20121006,5.99,6.12
20121009,6.18,6.89
20121012,7.44,6.63
20121015,6.85,6.52
20121018,5.43,5.31
20121021,9.11,11.42
20121024,11.56,13.3
20121027,13.26,13.2
20121030,11.25,10.29
20121102,9.51,9.62
20121105,9.63,9.05
20121108,8.46,8.3
20121111,6.92,6.3
20121114,5.92,4.67
20121117,4.34,3.51
20121120,4.74,4.5
20121123,4.31,4.74
20121126,5.29,3.56
20121129,3.18,2.27
20121202,2.13,1.59
20121205,1.75,0.77
20121208,0.2,-0.39
20121211,0.69,1.06
20121214,1.43,1.14
20121217,0.76,1.32
20121220,2.1,2.11
20121223,3.25,4.53
20121226,2.86,3.29
20121229,3.25,3.64
20130101,4.75,3.83
20130104,2.21,3.32
20130107,2.32,1.63
20130110,1.84,1.15
20130113,-0.44,-0.41
20130116,-1.19,-0.59
20130119,-1.09,-1.78
20130122,-1.99,-0.94
20130125,-0.03,-1.13
20130128,1.67,1.35
20130131,0.2,1.08
20130203,0.72,2.88
20130206,3.72,3.52
20130209,5.1,5.95
20130212,4.72,5.61
20130215,5.09,5.01
20130218,5.14,4.26
20130221,2.93,3.29
20130224,1.91,-0.67
20130227,-1.5,-1.17
20130302,-1.44,-0.18
20130305,0.01,-0.76
20130308,-1.2,-2.64
20130311,-1.55,-2.93
20130314,-3.85,-4.01
20130317,-4.01,-5.51
20130320,-6.42,-6.15
20130323,-5.02,-4.67
20130326,-4.7,-6.26
20130329,-6.88,-6.36
20130401,-5.28,-4.39
20130404,-4.25,-3.04
20130407,-0.16,-0.76
20130410,-1.52,-0.0
20130413,0.23,0.35
20130416,0.74,0.08
20130419,-0.95,-1.73
20130422,-0.48,-1.92
20130425,-1.42,-1.98
20130428,-2.33,-1.59
20130501,-0.74,-0.4
20130504,-2.27,-0.7
20130507,0.61,0.7
20130510,0.71,2.51
20130513,3.46,3.43
20130516,3.14,2.94
20130519,4.12,5.16
20130522,3.55,4.01
20130525,4.87,3.37
20130528,3.37,1.59
20130531,1.72,-0.37
20130603,-1.05,-1.66
20130606,-2.37,-0.92
20130609,-0.38,-0.78
20130612,-1.71,-1.95
20130615,-2.98,-2.01
20130618,-0.01,1.04
20130621,1.37,1.21
20130624,0.8,2.55
20130627,1.97,3.53
20130630,2.4,2.11
20130703,0.39,0.55
20130706,-0.71,0.95
20130709,1.37,1.9
20130712,2.19,1.09
20130715,1.22,3.05
20130718,3.06,2.05
20130721,0.19,-0.52
20130724,-2.28,-1.45
20130727,-0.67,-1.55
20130730,-0.93,-1.51
20130802,-1.55,-1.18
20130805,-1.63,-1.21
20130808,-2.89,-2.78
20130811,-2.81,-4.86
20130814,-6.67,-8.53
20130817,-8.11,-7.99
20130820,-7.72,-9.04
20130823,-7.9,-6.92
20130826,-7.69,-6.51
20130829,-6.76,-8.54
20130901,-10.17,-9.44
20130904,-9.54,-8.66
20130907,-8.75,-8.48
20130910,-6.36,-4.96
20130913,-5.39,-5.02
20130916,-4.52,-3.76
20130919,-3.69,-4.18
20130922,-4.19,-4.67
20130925,-2.98,-1.74
20130928,-1.95,-1.52
20131001,-1.68,-0.49
20131004,0.56,1.13
20131007,2.0,2.66
20131010,3.83,4.36
20131013,4.51,3.94
20131016,2.37,2.34
20131019,1.6,1.66
20131022,2.8,2.97
20131025,2.56,1.7
20131028,0.27,1.6
20131031,-0.17,-1.11
20131103,-3.42,-3.74
20131106,-4.08,-4.48
20131109,-4.55,-5.37
20131112,-6.28,-4.46
20131115,-4.8,-3.89
20131118,-4.73,-3.11
20131121,-1.6,-1.37
20131124,-2.47,-2.38
20131127,-2.33,-2.09
20131130,-3.07,-4.59
20131203,-4.43,-4.44
20131206,-4.44,-3.41
20131209,-4.89,-3.88
20131212,-4.62,-5.02
20131215,-5.84,-5.75
20131218,-7.66,-8.23
20131221,-8.74,-7.48
20131224,-7.33,-6.63
20131227,-6.63,-7.68
20131230,-6.77,-7.61
20140102,-8.14,-7.96
20140105,-7.01,-7.21
20140108,-5.7,-6.27
20140111,-5.61,-5.61
20140114,-4.06,-3.84
20140117,-5.72,-4.63
20140120,-4.71,-5.27
20140123,-4.05,-4.38
20140126,-3.78,-4.54
20140129,-5.38,-3.57
20140201,-4.36,-4.94
20140204,-6.65,-5.02
20140207,-4.62,-4.38
20140210,-3.41,-4.74
20140213,-5.28,-5.37
20140216,-6.92,-5.61
20140219,-5.63,-5.95
20140222,-5.71,-6.47
20140225,-6.42,-2.99
20140228,-2.39,-0.72
20140303,-1.08,-1.83
20140306,-1.52,-2.86
20140309,-5.17,-4.43
20140312,-3.79,-2.96
20140315,-2.93,-0.95
20140318,-1.04,-1.59
20140321,-4.6,-4.65
20140324,-3.82,-3.81
20140327,-2.69,-0.39
20140330,-0.56,0.67
20140402,-0.92,0.11
20140405,0.18,-0.04
20140408,-0.21,-0.36
20140411,-0.67,-0.47
20140414,-0.65,-1.8
20140417,-1.39,-2.0
20140420,-0.95,-0.98
20140423,-0.85,-2.9
20140426,-4.16,-3.22
20140429,-3.95,-4.49
20140502,-4.76,-3.4
20140505,-3.03,-1.72
20140508,-1.98,-1.77
20140511,-2.97,-1.8
20140514,-1.69,-1.64
20140517,-1.31,0.14
20140520,-0.07,1.59
20140523,0.74,1.16
20140526,3.17,2.68
20140529,2.93,3.8
20140601,3.66,2.16
20140604,1.11,1.69
20140607,2.58,3.37
20140610,4.51,4.58
20140613,4.79,3.27
20140616,3.59,4.2
20140619,3.62,4.26
20140622,2.45,3.2
20140625,3.5,5.61
20140628,7.02,8.53
20140701,9.35,9.99
20140704,8.81,8.48
20140707,10.3,8.85
20140710,8.4,6.98
20140713,8.43,7.86
20140716,9.41,8.99
20140719,8.49,9.77
20140722,10.71,7.99
20140725,8.44,9.04
20140728,9.25,8.6
20140731,8.62,8.23
20140803,8.44,8.23
20140806,7.61,7.78
20140809,8.58,8.87
20140812,8.31,8.65
20140815,9.72,11.32
20140818,12.52,13.06
20140821,12.05,10.69
20140824,10.48,9.07
20140827,8.29,8.12
20140830,7.63,7.31
20140902,5.98,6.21
20140905,7.21,6.66
20140908,7.38,10.05
20140911,9.96,10.61
20140914,10.8,11.77
20140917,10.05,9.0
20140920,9.14,10.03
20140923,10.16,8.49
20140926,7.67,6.88
20140929,7.26,6.5
20141002,5.82,6.91
20141005,8.24,7.83
20141008,8.25,6.37
20141011,6.57,7.76
20141014,8.29,8.39
20141017,8.0,7.35
20141020,7.17,5.62
20141023,7.23,7.8
20141026,7.69,7.07
20141029,7.0,7.8
20141101,8.81,7.91
20141104,6.94,9.01
20141107,10.15,10.86
20141110,10.72,11.64
20141113,10.37,11.9
20141116,11.87,12.66
20141119,13.3,13.17
20141122,13.0,14.22
20141125,15.25,13.47
20141128,11.78,10.84
20141201,9.94,8.82
20141204,9.1,8.63
20141207,9.84,11.29
20141210,11.26,12.95
20141213,12.97,12.53
20141216,12.6,13.54
20141219,11.93,11.72
20141222,12.02,12.38
20141225,12.01,12.5
20141228,12.79,12.2
20141231,14.38,14.82
20150103,14.49,13.92
20150106,14.95,15.05
20150109,17.6,17.16
20150112,15.92,15.89
20150115,16.07,13.95
20150118,13.64,13.27
20150121,12.9,12.27
20150124,10.93,11.69
20150127,11.1,10.08
20150130,9.32,8.85
20150202,8.96,9.63
20150205,8.67,8.19
20150208,6.85,3.46
20150211,3.61,5.13
20150214,5.65,5.15
20150217,5.24,4.07
20150220,3.95,3.52
20150223,2.67,3.07
20150226,5.67,7.34
20150301,7.26,8.15
20150304,9.01,8.36
20150307,9.01,7.57
20150310,6.76,7.0
20150313,6.59,8.34
20150316,8.99,8.61
20150319,8.14,8.32
20150322,7.27,7.86
20150325,6.49,7.11
20150328,6.95,7.36
20150331,6.35,6.59
20150403,9.01,8.55
20150406,8.87,10.37
20150409,11.13,11.57
20150412,10.55,9.27
20150415,9.33,8.86
20150418,8.85,9.05
20150421,8.38,8.87
20150424,10.73,9.72
20150427,9.25,9.2
20150430,10.34,9.15
20150503,8.09,5.92
20150506,5.48,6.16
20150509,7.23,7.59
20150512,6.99,7.69
20150515,7.9,5.98
20150518,4.75,6.26
20150521,6.58,5.21
20150524,6.03,7.09
20150527,6.65,7.31
20150530,3.57,4.54
20150602,5.72,4.59
20150605,4.88,4.54
20150608,4.44,4.01
20150611,2.68,4.57
20150614,4.26,4.36
20150617,3.35,2.32
20150620,2.73,3.26
20150623,4.13,5.24
20150626,5.03,4.58
20150629,5.33,4.69
20150702,5.57,5.94
20150705,7.09,7.77
20150708,6.71,5.84
20150711,6.58,8.48
20150714,7.16,7.18
20150717,7.47,5.94
20150720,6.42,6.33
20150723,4.23,5.85
20150726,4.99,3.71
20150729,4.13,4.68
20150801,5.42,5.03
20150804,5.02,4.29
20150807,2.98,4.06
20150810,3.96,3.78
20150813,1.78,1.6
20150816,0.76,0.58
20150819,0.36,-0.08
20150822,0.85,1.3
20150825,2.43,1.1
20150828,0.45,0.41
20150831,0.01,-0.07
20150903,-1.25,-1.97
20150906,-3.61,-4.5
20150909,-3.81,-4.02
20150912,-2.52,-3.11
20150915,-2.99,-4.21
20150918,-1.61,-1.78
20150921,-0.95,-0.54
20150924,-1.12,-2.46
20150927,-2.3,-2.86
20150930,-3.01,-2.36
20151003,-2.28,-1.9
20151006,-1.75,-3.22
20151009,-1.83,-0.65
20151012,-1.79,-1.28
20151015,-1.94,-2.69
20151018,-2.69,-0.95
20151021,0.11,0.72
20151024,-0.43,2.12
20151027,2.99,0.64
20151030,1.04,0.56
20151102,0.97,1.37
20151105,0.45,2.27
20151108,2.47,3.41
20151111,4.77,4.03
20151114,3.12,4.24
20151117,5.63,4.25
20151120,6.27,6.03
20151123,6.72,7.29
20151126,6.31,5.45
20151129,3.37,2.22
20151202,0.73,0.77
20151205,2.14,2.12
20151208,2.45,3.23
20151211,3.91,3.53
20151214,2.06,1.63
20151217,1.7,0.82
20151220,1.19,0.89
20151223,1.52,0.71
20151226,-0.21,1.56
20151229,1.59,2.15
20160101,1.05,0.67
20160104,1.35,2.92
20160107,2.19,1.39
20160110,1.37,-0.16
20160113,-0.19,-0.25
20160116,0.47,1.89
20160119,2.46,3.2
20160122,3.25,2.89
20160125,0.9,0.01
20160128,0.23,-1.42
20160131,-1.18,-1.58
20160203,-2.6,-3.07
20160206,-2.34,-1.45
20160209,-3.39,-3.54
20160212,-2.63,-2.88
20160215,-2.78,-4.27
20160218,-4.75,-2.92
20160221,-3.71,-5.15
20160224,-5.0,-4.21
20160227,-3.02,-3.54
20160301,-3.31,-2.77
20160304,-2.12,-2.67
20160307,-0.95,-1.64
20160310,-0.93,-0.96
20160313,-1.54,-2.19
20160316,-2.77,-3.22
20160319,-4.24,-3.54
20160322,-4.24,-4.86
20160325,-4.37,-4.48
20160328,-5.9,-6.84
20160331,-7.03,-7.61
20160403,-6.86,-7.62
20160406,-8.59,-9.6
20160409,-9.19,-8.71
20160412,-10.38,-9.76
20160415,-8.9,-10.59
20160418,-11.28,-9.85
20160421,-8.85,-8.82
20160424,-8.32,-6.21
20160427,-5.7,-6.93
20160430,-5.56,-6.43
20160503,-5.44,-4.78
20160506,-3.89,-2.35
20160509,-3.82,-3.89
20160512,-1.94,-0.96
20160515,-0.79,-1.81
20160518,-1.7,-2.62
20160521,-4.08,-3.51
20160524,-3.44,-4.22
20160527,-3.82,-4.32
20160530,-2.54,-2.58
20160602,-1.0,-1.81
20160605,-1.2,0.65
20160608,0.92,2.05
20160611,0.32,1.02
20160614,1.05,1.82
20160617,2.69,0.43
20160620,-0.01,-0.68
20160623,-0.53,-2.47
20160626,-3.56,-2.56
20160629,-2.38,-3.47
20160702,-3.73,-2.63
20160705,-4.47,-4.68
20160708,-4.91,-4.72
20160711,-4.22,-2.31
20160714,-1.75,-2.34
20160717,-1.08,-1.94
20160720,-1.51,0.07
20160723,1.14,1.95
20160726,-0.28,-0.38
20160729,-0.97,0.36
20160801,1.2,1.46
20160804,2.26,1.61
20160807,2.24,2.34
20160810,0.65,1.0
20160813,1.7,2.9
20160816,3.42,4.43
20160819,2.7,2.33
20160822,2.18,1.85
20160825,1.76,1.19
20160828,1.92,0.93
20160831,1.06,1.13
20160903,1.27,0.33
20160906,1.73,1.5
20160909,0.06,0.86
20160912,0.86,0.76
20160915,0.67,1.06
20160918,1.01,0.23
20160921,-1.18,-0.88
20160924,-2.4,-1.28
20160927,-2.23,-3.08
20160930,-4.07,-5.43
20161003,-6.2,-6.48
20161006,-8.81,-11.26
20161009,-11.97,-11.09
20161012,-12.39,-12.47
20161015,-11.04,-12.36
20161018,-12.8,-13.54
20161021,-12.65,-12.19
20161024,-11.57,-9.07
20161027,-7.44,-7.54
20161030,-7.74,-9.19
20161102,-10.91,-10.96
20161105,-12.25,-11.63
20161108,-12.42,-13.0
20161111,-14.56,-12.45
20161114,-11.69,-12.4
20161117,-12.25,-10.92
20161120,-11.85,-9.94
20161123,-10.98,-11.15
20161126,-12.8,-15.34
20161129,-14.33,-14.25
20161202,-15.98,-17.62
20161205,-16.48,-16.63
20161208,-15.2,-14.56
20161211,-14.63,-14.59
20161214,-15.15,-15.05
20161217,-15.11,-14.27
20161220,-14.44,-13.61
20161223,-12.69,-12.51
20161226,-13.83,-13.99
20161229,-15.89,-17.1
20170101,-16.37,-15.87
20170104,-15.88,-16.18
20170107,-16.92,-17.43
20170110,-16.47,-15.99
20170113,-17.36,-17.16
20170116,-17.02,-15.37
20170119,-17.13,-17.91
20170122,-16.94,-18.05
20170125,-15.67,-16.84
20170128,-16.82,-16.26
20170131,-15.37,-14.66
20170203,-15.12,-14.21
20170206,-14.96,-15.5
20170209,-15.04,-13.53
20170212,-13.76,-14.65
20170215,-13.44,-14.71
20170218,-12.87,-13.85
20170221,-13.21,-12.28
20170224,-11.5,-11.27
20170227,-11.22,-12.88
20170302,-13.66,-12.93
20170305,-12.27,-13.31
20170308,-12.96,-12.71
20170311,-10.96,-11.37
20170314,-11.89,-12.82
20170317,-13.82,-13.44
20170320,-14.15,-13.07
20170323,-13.7,-12.16
20170326,-11.75,-11.49
20170329,-12.64,-12.31
20170401,-12.26,-11.63
20170404,-12.14,-13.6
20170407,-13.32,-13.18
20170410,-12.94,-11.93
20170413,-12.87,-15.25
20170416,-14.78,-14.37
20170419,-14.85,-14.68
20170422,-15.73,-17.83
20170425,-19.53,-19.48
20170428,-18.1,-18.49
20170501,-17.68,-18.27
20170504,-18.33,-17.53
20170507,-17.4,-17.94
20170510,-18.8,-18.9
20170513,-17.71,-19.28
20170516,-18.43,-18.14
20170519,-19.11,-19.13
20170522,-19.33,-20.28
20170525,-20.82,-22.08
20170528,-24.15,-24.0
20170531,-22.95,-21.32
20170603,-22.43,-20.28
20170606,-18.76,-17.33
20170609,-18.12,-18.68
20170612,-20.62,-20.43
20170615,-20.82,-20.66
20170618,-21.49,-20.82
20170621,-20.48,-21.62
20170624,-21.67,-21.38
20170627,-19.38,-19.28
20170630,-20.22,-20.54
20170703,-20.57,-20.7
20170706,-22.54,-22.87
20170709,-23.57,-23.83
20170712,-21.71,-22.54
20170715,-21.1,-19.94
20170718,-19.26,-19.25
20170721,-18.6,-19.05
20170724,-19.6,-20.34
20170727,-20.07,-20.28
20170730,-20.52,-19.1
20170802,-19.8,-19.07
20170805,-19.59,-21.18
20170808,-22.61,-23.1
20170811,-22.47,-21.83
20170814,-22.07,-21.45
20170817,-21.38,-21.64
20170820,-20.78,-19.59
20170823,-18.58,-18.88
20170826,-18.32,-20.45
20170829,-20.25,-19.89
20170901,-19.74,-19.96
20170904,-18.66,-18.75
20170907,-18.89,-19.13
20170910,-18.1,-18.39
20170913,-19.22,-19.33
20170916,-17.62,-17.92
20170919,-17.31,-17.59
20170922,-17.86,-18.42
20170925,-19.64,-19.75
20170928,-19.03,-17.46
20171001,-17.01,-17.83
20171004,-17.08,-16.63
20171007,-15.23,-13.14
20171010,-11.93,-12.32
20171013,-12.48,-11.32
20171016,-11.83,-11.97
20171019,-11.34,-10.27
20171022,-10.04,-12.94
20171025,-12.6,-12.91
20171028,-13.88,-13.86
20171031,-12.74,-13.87
20171103,-12.28,-11.3
20171106,-10.37,-11.18
20171109,-11.43,-11.81
20171112,-11.81,-11.88
20171115,-12.19,-12.37
20171118,-12.58,-12.32
20171121,-13.97,-13.48
20171124,-11.78,-10.71
20171127,-11.66,-10.61
20171130,-8.32,-8.57
20171203,-7.84,-5.55
20171206,-4.52,-2.96
20171209,-4.06,-3.82
20171212,-3.43,-2.87
20171215,-2.08,-1.92
20171218,-3.23,-2.17
20171221,-1.79,-2.97
20171224,-2.21,-1.66
20171227,-1.12,-1.41
20171230,0.23,0.8
20180102,0.01,-1.53
20180105,-2.3,-4.67
20180108,-4.93,-4.8
20180111,-6.01,-6.55
20180114,-5.0,-4.89
20180117,-3.36,-3.54
20180120,-3.72,-5.92
20180123,-5.19,-4.09
20180126,-4.43,-4.74
20180129,-3.93,-4.67
20180201,-5.45,-5.13
20180204,-5.74,-5.13
20180207,-6.05,-4.54
20180210,-3.88,-3.81
20180213,-4.69,-5.75
20180216,-6.64,-8.08
20180219,-6.74,-6.39
20180222,-5.32,-3.58
20180225,-2.28,-1.83
20180228,-2.24,-1.49
20180303,-1.28,-1.54
20180306,-2.05,-0.97
20180309,0.5,0.23
20180312,-0.21,0.49
20180315,-0.15,0.46
20180318,2.19,1.78
20180321,1.8,3.79
20180324,3.42,3.56
20180327,2.62,1.91
20180330,0.54,3.46
20180402,4.03,3.99
20180405,2.93,1.1
20180408,1.35,1.2
20180411,1.7,2.4
20180414,3.41,3.37
20180417,3.99,3.58
20180420,2.73,2.39
20180423,3.16,3.77
20180426,3.75,4.08
20180429,5.68,3.88
20180502,2.63,2.61
20180505,3.31,3.1
20180508,4.0,0.99
20180511,-1.34,-1.9
20180514,0.76,0.76
20180517,-1.48,-1.84
20180520,-1.22,-0.26
20180523,0.21,-0.02
20180526,0.65,1.81
20180529,1.25,1.13
20180601,0.99,-0.71
20180604,-1.97,-4.29
20180607,-4.2,-4.5
20180610,-4.84,-4.87
20180613,-4.36,-5.03
20180616,-3.85,-5.45
20180619,-5.46,-5.56
20180622,-4.71,-5.2
20180625,-4.13,-4.37
20180628,-4.47,-4.62
20180701,-3.92,-3.07
20180704,-3.67,-5.08
20180707,-6.06,-5.9
20180710,-5.91,-5.77
20180713,-6.5,-5.7
20180716,-5.88,-7.51
20180719,-7.36,-6.81
20180722,-6.67,-6.54
20180725,-6.31,-7.36
